user_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
114,170,3,11170,1,2,3,123,Lost Customers
115,83,3,7306,3,2,2,322,Others
116,50,3,5905,3,2,2,322,Others
117,116,5,10785,2,4,3,243,At Risk
118,10,6,19638,5,4,5,545,Champions
119,234,3,9837,1,2,3,123,Lost Customers
120,48,4,9279,3,3,3,333,Others
121,248,2,6997,1,1,2,112,Lost Customers
122,112,7,14654,2,5,4,254,At Risk
123,87,2,2434,2,1,1,211,Others
124,92,2,6349,2,1,2,212,Others
125,149,2,6723,1,1,2,112,Lost Customers
126,25,6,16415,4,4,5,445,Champions
127,34,4,12256,4,3,4,434,Others
128,21,7,20485,4,5,5,455,Champions
129,164,4,12154,1,3,4,134,At Risk
130,30,5,17354,4,4,5,445,Champions
131,71,6,16928,3,4,5,345,Loyal Customers
132,12,3,6795,5,2,2,522,New Customers
133,85,6,12154,2,4,4,244,At Risk
134,47,6,15517,3,4,4,344,Loyal Customers
135,22,3,6273,4,2,2,422,New Customers
136,65,4,13713,3,3,4,334,Others
137,77,5,9419,3,4,3,343,Loyal Customers
138,146,2,6074,1,1,2,112,Lost Customers
139,2,2,4865,5,1,1,511,New Customers
140,237,2,8473,1,1,3,113,Lost Customers
141,35,4,10155,4,3,3,433,Others
142,40,2,4676,4,1,1,411,New Customers
143,1,5,11040,5,4,3,543,Loyal Customers
144,7,8,22044,5,5,5,555,Champions
145,2,6,12977,5,4,4,544,Champions
146,19,4,7718,5,3,2,532,Others
147,21,7,16769,4,5,5,455,Champions
148,170,6,10706,1,4,3,143,At Risk
149,55,4,13249,3,3,4,334,Others
150,12,4,14347,5,3,4,534,Others
151,88,6,9559,2,4,3,243,At Risk
152,11,9,13746,5,5,4,554,Champions
153,42,4,9153,4,3,3,433,Others
154,119,7,21705,2,5,5,255,At Risk
155,16,2,2145,5,1,1,511,New Customers
156,206,2,832,1,1,1,111,Lost Customers
157,96,5,8557,2,4,3,243,At Risk
158,38,5,14084,4,4,4,444,Champions
159,91,2,2870,2,1,1,211,Others
160,6,7,22906,5,5,5,555,Champions
161,94,7,13427,2,5,4,254,At Risk
162,99,3,10026,2,2,3,223,Others
163,10,4,8632,5,3,3,533,Others
164,113,4,10853,2,3,3,233,At Risk
165,39,6,12117,4,4,4,444,Champions
166,102,2,4186,2,1,1,211,Others
167,33,2,5780,4,1,2,412,New Customers
168,81,4,14544,3,3,4,334,Others
169,247,1,3771,1,1,1,111,Lost Customers
170,131,6,16569,2,4,5,245,At Risk
171,83,2,4110,3,1,1,311,Others
172,17,6,13791,5,4,4,544,Champions
173,46,8,18133,4,5,5,455,Champions
174,79,2,8838,3,1,3,313,Others
175,57,2,3078,3,1,1,311,Others
176,82,3,8821,3,2,3,323,Others
177,32,6,22000,4,4,5,445,Champions
178,21,4,7029,4,3,2,432,Others
179,25,5,13774,4,4,4,444,Champions
180,105,6,18988,2,4,5,245,At Risk
181,66,3,6735,3,2,2,322,Others
182,24,4,13517,4,3,4,434,Others
183,153,2,1064,1,1,1,111,Lost Customers
184,93,4,12329,2,3,4,234,At Risk
185,61,1,2486,3,1,1,311,Others
186,107,3,7989,2,2,2,222,Others
187,46,6,15087,4,4,4,444,Champions
188,82,5,10492,3,4,3,343,Loyal Customers
189,27,3,4744,4,2,1,421,New Customers
190,43,7,12712,4,5,4,454,Champions
191,28,3,4985,4,2,1,421,New Customers
192,21,7,20762,4,5,5,455,Champions
193,16,1,1025,5,1,1,511,New Customers
194,32,4,8784,4,3,3,433,Others
195,5,4,10832,5,3,3,533,Others
196,8,3,7433,5,2,2,522,New Customers
197,58,3,3285,3,2,1,321,Others
198,22,7,20676,4,5,5,455,Champions
199,61,2,3038,3,1,1,311,Others
200,229,2,9133,1,1,3,113,Lost Customers
201,30,6,14490,4,4,4,444,Champions
202,22,6,12472,4,4,4,444,Champions
203,100,3,10286,2,2,3,223,Others
204,84,1,1581,2,1,1,211,Others
205,236,2,5782,1,1,2,112,Lost Customers
206,104,2,6402,2,1,2,212,Others
207,89,3,6238,2,2,2,222,Others
208,38,3,9943,4,2,3,423,New Customers
209,307,2,8255,1,1,2,112,Lost Customers
210,106,2,8445,2,1,3,213,Others
211,293,1,756,1,1,1,111,Lost Customers
212,93,3,7783,2,2,2,222,Others
213,110,3,9635,2,2,3,223,Others
214,4,4,6292,5,3,2,532,Others
215,22,10,20905,4,5,5,455,Champions
216,51,4,8136,3,3,2,332,Others
217,112,7,22499,2,5,5,255,At Risk
218,62,6,16224,3,4,5,345,Loyal Customers
219,108,1,4113,2,1,1,211,Others
220,99,7,16388,2,5,5,255,At Risk
221,157,1,3921,1,1,1,111,Lost Customers
222,6,5,7335,5,4,2,542,Loyal Customers
223,7,7,11915,5,5,4,554,Champions
224,57,6,17419,3,4,5,345,Loyal Customers
225,202,5,14670,1,4,4,144,At Risk
226,14,4,12917,5,3,4,534,Others
227,4,7,13661,5,5,4,554,Champions
228,30,3,6502,4,2,2,422,New Customers
229,5,8,26033,5,5,5,555,Champions
230,55,2,6405,3,1,2,312,Others
231,56,6,13990,3,4,4,344,Loyal Customers
232,87,1,2174,2,1,1,211,Others
233,143,8,20380,2,5,5,255,At Risk
234,54,2,1811,3,1,1,311,Others
235,75,3,4587,3,2,1,321,Others
236,26,4,8901,4,3,3,433,Others
237,22,6,12812,4,4,4,444,Champions
238,16,3,4631,5,2,1,521,New Customers
239,123,7,17176,2,5,5,255,At Risk
240,161,3,8837,1,2,3,123,Lost Customers
241,211,1,4626,1,1,1,111,Lost Customers
242,43,4,3883,4,3,1,431,Others
243,31,3,2905,4,2,1,421,New Customers
244,242,3,6947,1,2,2,122,Lost Customers
246,23,4,8203,4,3,2,432,Others
247,91,7,20613,2,5,5,255,At Risk
249,37,5,14468,4,4,4,444,Champions
250,12,5,17633,5,4,5,545,Champions
251,64,3,8322,3,2,2,322,Others
252,16,7,16965,5,5,5,555,Champions
253,2,6,18288,5,4,5,545,Champions
254,49,5,16289,3,4,5,345,Loyal Customers
255,34,4,12200,4,3,4,434,Others
256,40,3,8434,4,2,3,423,New Customers
257,52,6,16197,3,4,5,345,Loyal Customers
258,76,2,5954,3,1,2,312,Others
259,282,6,16196,1,4,5,145,At Risk
260,125,2,3922,2,1,1,211,Others
261,19,4,8690,5,3,3,533,Others
262,78,2,3235,3,1,1,311,Others
263,152,2,7249,1,1,2,112,Lost Customers
264,2,9,29032,5,5,5,555,Champions
265,37,3,9308,4,2,3,423,New Customers
266,297,2,4757,1,1,1,111,Lost Customers
267,65,5,16749,3,4,5,345,Loyal Customers
268,16,7,12129,5,5,4,554,Champions
269,230,1,4299,1,1,1,111,Lost Customers
270,25,3,5171,4,2,2,422,New Customers
271,26,4,10673,4,3,3,433,Others
272,87,2,2978,2,1,1,211,Others
273,90,6,13409,2,4,4,244,At Risk
274,140,2,8635,2,1,3,213,Others
275,94,4,7258,2,3,2,232,At Risk
277,163,6,20506,1,4,5,145,At Risk
278,56,2,6634,3,1,2,312,Others
279,174,2,1932,1,1,1,111,Lost Customers
280,89,6,9962,2,4,3,243,At Risk
281,133,3,8933,2,2,3,223,Others
282,24,6,17619,4,4,5,445,Champions
283,208,6,12903,1,4,4,144,At Risk
284,116,4,10631,2,3,3,233,At Risk
285,4,6,15944,5,4,5,545,Champions
286,75,7,18934,3,5,5,355,Loyal Customers
287,223,2,6072,1,1,2,112,Lost Customers
288,36,8,24051,4,5,5,455,Champions
289,2,8,22993,5,5,5,555,Champions
290,2,2,6951,5,1,2,512,New Customers
291,164,4,10325,1,3,3,133,At Risk
292,4,4,10106,5,3,3,533,Others
293,3,5,11104,5,4,3,543,Loyal Customers
294,54,6,13847,3,4,4,344,Loyal Customers
295,143,3,9737,2,2,3,223,Others
296,9,6,18173,5,4,5,545,Champions
297,290,1,4282,1,1,1,111,Lost Customers
298,212,1,2046,1,1,1,111,Lost Customers
299,53,2,7562,3,1,2,312,Others
300,106,2,5065,2,1,2,212,Others
301,80,4,8505,3,3,3,333,Others
302,18,5,17236,5,4,5,545,Champions
303,19,8,20628,5,5,5,555,Champions
304,6,5,11157,5,4,3,543,Loyal Customers
305,3,5,8989,5,4,3,543,Loyal Customers
306,22,3,3119,4,2,1,421,New Customers
307,64,3,5845,3,2,2,322,Others
308,6,3,6780,5,2,2,522,New Customers
309,19,4,10563,5,3,3,533,Others
310,82,4,10233,3,3,3,333,Others
311,5,5,14450,5,4,4,544,Champions
312,52,4,8906,3,3,3,333,Others
313,52,6,14659,3,4,4,344,Loyal Customers
314,81,3,12889,3,2,4,324,Others
315,10,4,14765,5,3,4,534,Others
316,100,5,16057,2,4,5,245,At Risk
317,21,4,13085,4,3,4,434,Others
318,9,7,18768,5,5,5,555,Champions
319,5,5,11655,5,4,4,544,Champions
320,52,5,15369,3,4,4,344,Loyal Customers
321,6,4,14007,5,3,4,534,Others
322,139,3,11725,2,2,4,224,Others
323,65,4,14486,3,3,4,334,Others
324,50,4,7464,3,3,2,332,Others
325,40,3,10362,4,2,3,423,New Customers
326,28,5,10340,4,4,3,443,Loyal Customers
327,45,4,5761,4,3,2,432,Others
328,7,6,22273,5,4,5,545,Champions
329,296,2,6512,1,1,2,112,Lost Customers
330,104,7,17714,2,5,5,255,At Risk
331,12,4,5903,5,3,2,532,Others
332,98,1,372,2,1,1,211,Others
333,309,1,326,1,1,1,111,Lost Customers
334,239,1,1667,1,1,1,111,Lost Customers
335,107,5,14888,2,4,4,244,At Risk
336,194,2,4008,1,1,1,111,Lost Customers
337,225,4,13083,1,3,4,134,At Risk
338,140,4,10901,2,3,3,233,At Risk
339,77,4,11998,3,3,4,334,Others
340,56,5,7263,3,4,2,342,Loyal Customers
341,23,4,9658,4,3,3,433,Others
342,3,9,20309,5,5,5,555,Champions
343,221,1,132,1,1,1,111,Lost Customers
344,139,3,11847,2,2,4,224,Others
345,50,2,7967,3,1,2,312,Others
346,62,9,22124,3,5,5,355,Loyal Customers
347,29,2,7048,4,1,2,412,New Customers
348,134,4,8086,2,3,2,232,At Risk
349,68,7,19100,3,5,5,355,Loyal Customers
350,71,4,5628,3,3,2,332,Others
351,84,2,9413,2,1,3,213,Others
352,217,3,7040,1,2,2,122,Lost Customers
353,188,2,5358,1,1,2,112,Lost Customers
354,45,2,3285,4,1,1,411,New Customers
355,61,5,8976,3,4,3,343,Loyal Customers
356,151,3,7524,1,2,2,122,Lost Customers
357,66,3,10911,3,2,3,323,Others
358,332,2,5329,1,1,2,112,Lost Customers
359,3,4,11569,5,3,4,534,Others
360,63,8,18143,3,5,5,355,Loyal Customers
361,46,4,9348,4,3,3,433,Others
362,282,1,338,1,1,1,111,Lost Customers
363,200,3,11714,1,2,4,124,Lost Customers
364,56,4,11311,3,3,4,334,Others
365,69,9,24602,3,5,5,355,Loyal Customers
366,174,3,4052,1,2,1,121,Lost Customers
367,34,4,11170,4,3,3,433,Others
368,324,1,4839,1,1,1,111,Lost Customers
369,16,7,19372,5,5,5,555,Champions
370,63,3,9066,3,2,3,323,Others
371,32,10,19266,4,5,5,455,Champions
372,76,3,10076,3,2,3,323,Others
373,17,7,18629,5,5,5,555,Champions
374,90,6,15668,2,4,4,244,At Risk
375,34,1,4047,4,1,1,411,New Customers
376,19,3,8889,5,2,3,523,New Customers
377,138,2,4579,2,1,1,211,Others
378,2,2,4941,5,1,1,511,New Customers
379,23,5,11474,4,4,4,444,Champions
380,208,5,13122,1,4,4,144,At Risk
381,148,1,2641,1,1,1,111,Lost Customers
382,50,1,4015,3,1,1,311,Others
383,24,1,4817,4,1,1,411,New Customers
384,13,4,9425,5,3,3,533,Others
385,11,7,20261,5,5,5,555,Champions
386,48,9,19709,3,5,5,355,Loyal Customers
387,126,3,8957,2,2,3,223,Others
388,144,6,23667,2,4,5,245,At Risk
389,358,1,3571,1,1,1,111,Lost Customers
390,265,3,6818,1,2,2,122,Lost Customers
391,9,6,10839,5,4,3,543,Loyal Customers
392,14,3,9226,5,2,3,523,New Customers
393,2,6,19678,5,4,5,545,Champions
394,30,4,15089,4,3,4,434,Others
395,302,1,615,1,1,1,111,Lost Customers
396,64,6,20010,3,4,5,345,Loyal Customers
397,99,4,4188,2,3,1,231,At Risk
398,40,5,14035,4,4,4,444,Champions
399,138,2,2628,2,1,1,211,Others
400,38,4,10507,4,3,3,433,Others
401,19,7,16760,5,5,5,555,Champions
402,28,5,15907,4,4,4,444,Champions
403,83,5,19259,3,4,5,345,Loyal Customers
404,18,3,13110,5,2,4,524,New Customers
405,18,3,12531,5,2,4,524,New Customers
406,244,2,8959,1,1,3,113,Lost Customers
407,1,7,14910,5,5,4,554,Champions
408,50,6,15624,3,4,4,344,Loyal Customers
409,75,3,5741,3,2,2,322,Others
410,105,6,15481,2,4,4,244,At Risk
411,1,6,16688,5,4,5,545,Champions
413,106,3,13740,2,2,4,224,Others
414,64,1,4777,3,1,1,311,Others
415,205,3,8392,1,2,3,123,Lost Customers
416,282,2,5758,1,1,2,112,Lost Customers
417,150,7,19932,1,5,5,155,At Risk
418,13,5,16711,5,4,5,545,Champions
419,282,2,3546,1,1,1,111,Lost Customers
420,3,7,14234,5,5,4,554,Champions
422,13,7,13673,5,5,4,554,Champions
423,24,3,13139,4,2,4,424,New Customers
424,41,5,12493,4,4,4,444,Champions
425,61,2,6913,3,1,2,312,Others
427,139,3,10051,2,2,3,223,Others
428,48,2,5873,3,1,2,312,Others
429,49,1,4358,3,1,1,311,Others
431,16,4,8977,5,3,3,533,Others
432,109,2,4079,2,1,1,211,Others
433,278,1,3604,1,1,1,111,Lost Customers
434,77,4,9496,3,3,3,333,Others
435,17,10,35562,5,5,5,555,Champions
436,73,4,6598,3,3,2,332,Others
437,183,2,7229,1,1,2,112,Lost Customers
438,146,3,7403,1,2,2,122,Lost Customers
439,118,3,10237,2,2,3,223,Others
440,86,3,7807,2,2,2,222,Others
441,1,7,21643,5,5,5,555,Champions
442,98,4,9556,2,3,3,233,At Risk
443,22,7,14214,4,5,4,454,Champions
444,65,4,7981,3,3,2,332,Others
445,145,5,10075,2,4,3,243,At Risk
446,6,10,22541,5,5,5,555,Champions
447,90,4,9320,2,3,3,233,At Risk
448,12,2,5620,5,1,2,512,New Customers
449,211,3,7788,1,2,2,122,Lost Customers
450,33,6,18717,4,4,5,445,Champions
451,108,3,10370,2,2,3,223,Others
452,290,1,4298,1,1,1,111,Lost Customers
453,281,3,7885,1,2,2,122,Lost Customers
454,347,1,862,1,1,1,111,Lost Customers
455,33,5,8662,4,4,3,443,Loyal Customers
456,9,6,12150,5,4,4,544,Champions
457,95,3,4061,2,2,1,221,Others
458,145,3,12551,2,2,4,224,Others
459,51,6,14932,3,4,4,344,Loyal Customers
460,41,5,14412,4,4,4,444,Champions
461,124,5,6400,2,4,2,242,At Risk
462,75,5,11438,3,4,4,344,Loyal Customers
463,282,1,2164,1,1,1,111,Lost Customers
464,9,3,5197,5,2,2,522,New Customers
465,183,1,2482,1,1,1,111,Lost Customers
466,170,4,7108,1,3,2,132,At Risk
467,98,3,7514,2,2,2,222,Others
468,41,1,2530,4,1,1,411,New Customers
469,57,7,14142,3,5,4,354,Loyal Customers
470,13,3,8187,5,2,2,522,New Customers
471,28,7,17678,4,5,5,455,Champions
472,42,5,8312,4,4,2,442,Loyal Customers
473,141,5,7613,2,4,2,242,At Risk
474,5,5,9753,5,4,3,543,Loyal Customers
475,10,4,12670,5,3,4,534,Others
476,13,9,27602,5,5,5,555,Champions
477,188,5,10525,1,4,3,143,At Risk
478,33,6,18524,4,4,5,445,Champions
479,336,1,3892,1,1,1,111,Lost Customers
480,191,1,252,1,1,1,111,Lost Customers
481,30,7,19701,4,5,5,455,Champions
482,110,2,1444,2,1,1,211,Others
483,25,3,11588,4,2,4,424,New Customers
484,57,3,11140,3,2,3,323,Others
485,47,8,28091,3,5,5,355,Loyal Customers
486,205,2,3712,1,1,1,111,Lost Customers
487,1,2,6503,5,1,2,512,New Customers
488,234,2,5907,1,1,2,112,Lost Customers
489,206,2,4281,1,1,1,111,Lost Customers
490,5,4,10986,5,3,3,533,Others
491,240,6,15907,1,4,4,144,At Risk
492,33,5,16646,4,4,5,445,Champions
493,143,4,11601,2,3,4,234,At Risk
494,34,3,11513,4,2,4,424,New Customers
495,134,2,7840,2,1,2,212,Others
496,13,4,11428,5,3,4,534,Others
497,3,7,17358,5,5,5,555,Champions
498,42,3,6085,4,2,2,422,New Customers
499,194,2,8175,1,1,2,112,Lost Customers
